file_id,filename,folder_path,file_type,size_kb,date_modified,content_excerpt
F0001,Software License-final.pdf,/Legal/Contracts/Real Estate,pdf,2270,2019-07-22,"Software license agreement granting the Company rights to use Ashworth Textiles's platform for recruitment services, subject to usage restrictions."
F0002,Employment Agreement old 20250917 (1).pdf,/Legal/Signed,pdf,3472,2026-02-03,"Offer letter and employment terms for a position in the content licensing team, including start date and reporting line."
F0003,03-05-26_draft_Bluewave_MSA.doc,/Legal/Unsorted,doc,134,2026-06-01,"Framework agreement setting out general terms under which Bluewave Logistics will provide ongoing services, to be supplemented by individual Statements of Work."
F0004,corvus-data_Lease_FINAL_v2_clean  version.pdf,/Legal/Downloads,pdf,3213,2024-02-11,"This Lease sets out the terms of occupancy, rent, and maintenance obligations for the property at 5 Harbour View, Leith."
F0005,VANTAGE_RETAIL_GROUP_Collab Agreement_FINAL(2)_2020.docx,/Legal/Contracts/Misc,docx,3695,2021-01-01,Partnership agreement between the Company and Vantage Retail Group establishing a joint venture focused on a pilot programme.
F0006,cobalt-freight-Non-Disclosure-Signed-Feb2024.pdf,/Legal/Unsorted/Desktop dump 2021,pdf,246,2024-08-19,This Non-Disclosure Agreement is entered into by and between Cobalt Freight and the Company for the purpose of evaluating a potential business relationship.
F0007,Offer Letter_FINAL(2)_09.06.2019.doc,/Shared/Legal Docs/Employees,doc,3805,2019-07-25,"Employment agreement between the Company and the named employee, setting out role, compensation, and termination terms."
F0008,ashworth-textiles-Purchase Agreement-v3-2023.pdf,/Legal/Contracts/Misc,pdf,2543,2024-03-23,"Vendor agreement with Ashworth Textiles covering the supply of goods/services related to customer support outsourcing, including pricing and delivery terms."
F0009,IP License-FINAL_v2-20210622.doc,/Legal/Contracts/2020,doc,3132,2021-08-27,"Scanned copy, OCR quality poor. Software license agreement granting the Company rights to us... [text unclear beyond this point]"
F0010,Greymoor_Logistics_v2_FINAL_2019_SOW.pdf,/Legal/Contracts/Real Estate,pdf,872,2020-07-08,"Statement of Work under the Master Services Agreement dated 20 December 2019, describing deliverables and timeline for the content licensing engagement."
F0011,Master Agreement-v1-for review-Pinnacle_Insurance.docx,/Legal/Contracts,docx,3929,2018-06-16,"Framework agreement setting out general terms under which Pinnacle Insurance will provide ongoing services, to be supplemented by individual Statements of Work."
